varName	varType	n	beta	lower	upper	pvalue	resType	description
36	CAT-SIN	900	0.0983773149614514	-0.016162557657336	0.212917187580239	0.0926423231284504	ORDERED-LOGISTIC	FIELD36
34	CAT-SIN	300/600(900)	-0.109224826420908	-0.250225740466006	0.0305843750212989	0.12690463825573	LOGISTIC-BINARY	FIELD34
41#A2	CAT-MUL	495/30(525)	-0.279921330329479	-0.643524391957283	0.0802575098503971	0.12881895054225	LOGISTIC-BINARY	FIELD41
44#A2	CAT-MUL	495/30(525)	-0.279921330329479	-0.643524391957283	0.0802575098503971	0.12881895054225	LOGISTIC-BINARY	FIELD44
42#A2	CAT-MUL	970/30(1000)	-0.271092529403254	-0.638941563159604	0.0972825617771356	0.148799368818932	LOGISTIC-BINARY	FIELD42
42#A3	CAT-MUL	500/500(1000)	0.0864433821127079	-0.0384102476318754	0.212002442173513	0.175552364136641	LOGISTIC-BINARY	FIELD42
41#A3	CAT-MUL	25/500(525)	0.263898870913534	-0.128807731460186	0.659366754827761	0.188723014880222	LOGISTIC-BINARY	FIELD41
44#A3	CAT-MUL	25/500(525)	0.263898870913534	-0.128807731460186	0.659366754827761	0.188723014880222	LOGISTIC-BINARY	FIELD44
43#A2	CAT-MUL	500/10(510)	-0.359968357309472	-1.01212718829243	0.29711440200682	0.278795837823767	LOGISTIC-BINARY	FIELD43
27	INTEGER	900	-0.0613970021268382	-0.173988283593535	0.0511942793398581	0.28545097008386	ORDERED-LOGISTIC	FIELD27
5	CONTINUOUS	100/400(500)	0.110016918922924	-0.120176251915122	0.3409581397031	0.348684506895428	LOGISTIC-BINARY	FIELD5
3	CONTINUOUS	1000	-0.0450001811095672	-0.163082290852617	0.0730819286334831	0.455275709873051	ORDERED-LOGISTIC	FIELD3
23	INTEGER	800/100(900)	-0.0587138905197793	-0.26814449316419	0.151300741243203	0.582832886096622	LOGISTIC-BINARY	FIELD23
24	INTEGER	800/91(891)	-0.0285925725557721	-0.24774207781053	0.191259095238754	0.798308506967338	LOGISTIC-BINARY	FIELD24
25	INTEGER	900	-0.014385183574579	-0.151259358847382	0.122488991698224	0.836844151418772	ORDERED-LOGISTIC	FIELD25
26	INTEGER	891	-0.0123789353617603	-0.150680028160361	0.125922157436841	0.860778714866497	ORDERED-LOGISTIC	FIELD26
38-4	CAT-SIN	300/750	-999	-999	-999	0.88828510171681	MULTINOMIAL-LOGISTIC	FIELD38
1	CONTINUOUS	1000	-0.00416199304712453	-0.0665856077581789	0.0582616216639298	0.895931144169959	LINEAR	FIELD1
43#A3	CAT-MUL	480/30(510)	0.0245485903675462	-0.353207150203736	0.408564777741574	0.899247201250351	LOGISTIC-BINARY	FIELD43
21	INTEGER	900	0.00247820276672263	-0.0634203422856384	0.0683767478190836	0.941180619713231	LINEAR	FIELD21
