parent_id	child_id	showcase_order
1	2	0
1	100094	0
42	45	100
42	46	110
42	47	120
42	48	130
42	49	140
42	44	150
42	50	160
42	43	170
100	110	100
100	112	110
100	107	120
100	111	130
100	106	140
100	109	150
100	108	160
102	128	0
102	133	0
103	125	100
103	124	110
105	126	100
105	131	110
105	149	120
107	134	0
107	135	0
110	190	0
110	191	0
110	192	0
110	193	0
110	194	0
110	195	0
110	196	0
110	197	0
113	150	100
113	114	110
113	115	120
113	151	130
113	100115	140
116	118	110
116	121	120
116	122	130
116	117	140
116	120	150
123	130	0
123	132	0
136	137	100
136	138	110
136	139	120
136	140	130
136	141	140
136	142	150
136	143	160
136	144	170
136	145	180
136	146	190
136	147	200
180	181	0
180	182	0
263	100315	100
263	100319	110
263	100035	120
263	100313	130
263	199001	160
1008	1009	100
1008	1010	110
1008	1011	120
1008	1012	130
1008	1013	140
2000	2002	100
2000	2005	110
2000	2001	120
2000	2003	130
2000	2004	140
2001	2011	0
2001	2021	0
2002	2012	0
2002	2022	0
2003	2013	0
2003	2023	0
2004	2014	0
2004	2024	0
2005	2015	0
2005	2025	0
17518	18518	0
51428	1307	0
100000	100021	100
100000	100025	110
100000	100071	120
100000	100006	130
100000	100026	140
100000	100003	150
100000	100001	160
100000	100004	170
100001	100002	0
100001	100095	1
100001	100096	1
100003	105	100
100003	100	110
100003	102	120
100003	103	130
100004	129	100
100004	152	110
100004	127	120
100006	100011	100
100006	101	110
100006	100007	120
100006	100049	130
100006	100013	140
100006	100019	150
100006	100008	160
100006	100018	170
100006	100020	180
100006	104	190
100006	100012	200
100008	100010	1
100008	100009	2
100013	100099	0
100013	100017	1
100013	100014	2
100013	100015	3
100013	100016	4
100021	100024	0
100021	100023	1
100021	100022	2
100025	100062	1
100025	100050	2
100025	100033	3
100025	100034	4
100025	100059	5
100025	100036	6
100025	100068	7
100026	100032	100
100026	100029	110
100026	100027	120
100026	505	130
100026	501	140
100026	503	150
100026	504	160
100026	502	170
100026	506	180
100026	100031	190
100026	100030	200
100026	100028	210
100026	100077	220
100036	100041	1
100036	100046	2
100036	100042	3
100036	100037	4
100036	100038	5
100036	100048	6
100036	100039	7
100036	100040	8
100036	100047	9
100036	100044	10
100036	100045	11
100036	100043	12
100050	100054	1
100050	100053	2
100050	100057	3
100050	100058	4
100050	100052	5
100050	100051	6
100050	100055	7
100050	100056	8
100054	54	0
100059	100061	1
100059	100060	2
100062	100066	1
100062	100064	2
100062	100063	3
100062	100065	4
100062	100067	5
100068	100070	1
100068	100069	2
100071	100072	1
100071	100073	2
100071	100074	3
100071	100075	4
100071	100076	5
100078	100079	0
100078	100084	1
100079	100080	0
100079	100082	1
100079	100083	2
100080	100081	100
100080	17518	110
100080	51428	120
100081	9081	0
100083	148	0
100084	100085	0
100084	100086	1
100084	100087	2
100088	113	100
100088	1008	110
100088	347	120
100089	100090	100
100089	116	110
100089	123	120
100089	136	130
100089	153	140
100090	100097	1
100090	100104	2
100090	100100	3
100090	100102	4
100090	100107	5
100090	100101	6
100090	100109	7
100090	100106	8
100090	100111	9
100090	100110	10
100090	100103	11
100090	100105	12
100090	100112	13
100090	100108	14
100090	100098	15
100090	100114	16
100091	3000	100
100091	2000	110
100091	100093	120
100091	100092	130
100091	42	140
100094	76	0
100314	263	0
100314	170	140
100314	180	150
199001	100316	0
199001	100317	0
