name,countValue
binary.500,1
catMul.binary,12
catMul.over10,12
catSin.case1,2
catSin.case2,3
catSin.case3,2
catSin.onevalue,1
catSinToCatMul,1
cont.binary,1
cont.main,3
cont.main.500,1
cont.onevalue,1
cont.ordcattry,2
cont.ordcattry.ordcat,2
excluded.catMul,1
excluded.catSin,1
excluded.cont,1
excluded.int,1
int.binary,3
int.catord,2
int.continuous,1
int.onevalue,1
ordCat,6
ordCat.500,2
start.catMul,4
start.catSin,8
start.cont,6
start.exposure.catMulvalues,1
start.exposure.cont,1
start.int,7
success.binary,17
success.continuous,2
success.exposure.binary,1
success.exposure.continuous,1
success.ordCat,4
success.unordCat,2
unordCat.500,1
