coding	meaning	node_id	parent_id	selectable
0	Other job (free text entry)	999999999	0	Y
1	Managers and Senior Officials	1	0	N
2	Professional Occupations	2	0	N
3	Associate Professional and Technical Occupations	3	0	N
4	Administrative and Secretarial Occupations	4	0	N
5	Skilled Trades Occupations	5	0	N
6	Personal Service Occupations	6	0	N
7	Sales and Customer Service Occupations	7	0	N
8	Process, Plant and Machine Operatives	8	0	N
9	Elementary Occupations	9	0	N
11	Corporate Managers	11	1	N
12	Managers And Proprietors In Agriculture And Services	12	1	N
21	Science And Technology Professionals	21	2	N
22	Health Professionals	22	2	N
23	Teaching And Research Professionals	23	2	N
24	Business And Public Service Professionals	24	2	N
31	Science And Technology Associate Professionals	31	3	N
32	Health And Social Welfare Associate Professionals	32	3	N
33	Protective Service Occupations	33	3	N
34	Culture, Media And Sports Occupations	34	3	N
35	Business And Public Service Associate Professionals	35	3	N
41	Administrative Occupations	41	4	N
42	Secretarial And Related Occupations	42	4	N
51	Skilled Agricultural Trades	51	5	N
52	Skilled Metal And Electrical Trades	52	5	N
53	Skilled Construction And Building Trades	53	5	N
54	Textiles, Printing And Other Skilled Trades	54	5	N
61	Caring Personal Service Occupations	61	6	N
62	Leisure And Other Personal Service Occupations	62	6	N
71	Sales Occupations	71	7	N
72	Customer Service Occupations	72	7	N
81	Process, Plant And Machine Operatives	81	8	N
82	Transport And Mobile Machine Drivers And Operatives	82	8	N
91	Elementary Trades, Plant And Storage Related Occupations	91	9	N
92	Elementary Administration And Service Occupations	92	9	N
111	Corporate Managers And Senior Officials	111	11	N
112	Production Managers	112	11	N
113	Functional Managers	113	11	N
114	Quality And Customer Care Managers	114	11	N
115	Financial Institution And Office Managers	115	11	N
116	Managers In Distribution, Storage And Retailing	116	11	N
117	Protective Service Officers	117	11	N
118	Health And Social Services Managers	118	11	N
121	Managers In Farming, Horticulture, Forestry And Fishing	121	12	N
122	Managers And Proprietors In Hospitality And Leisure Services	122	12	N
123	Managers And Proprietors In Other Service Industries	123	12	N
211	Science Professionals	211	21	N
212	Engineering Professionals	212	21	N
213	Information And Communication Technology Professionals	213	21	N
