dataCode,ordinal,ordering,reassignments,default_value,default_related_field
1,0,,,,
2,0,,,,
7,-1,,9=NA,,
8,0,,,,
9,-1,,,,
10,0,,,,
12,-1,,,,
13,,,-1=NA|-3=NA,,
14,-2,,,,
15,1,,,,
16,0,,,,
17,,,-1=NA,,
18,1,1|2|0,,,
19,0,,,,
22,-2,,,,
23,-2,,,,
24,-2,,,,
27,1,0|2|1,,,
29,0,,,,
30,-2,,,,
31,-2,,,,
32,-2,,,,
33,-2,,,,
34,-1,,,,
35,-2,,,,
36,-2,,,,
37,,,-3=NA|-1=NA,,
38,0,,,,
39,0,,,,
42,,,-313=NA|-818=NA,,
47,0,,,,
49,0,,,,
50,0,,,,
51,0,,,,
54,0,,,,
55,-1,,,,
56,0,,,,
59,0,,,,
60,0,,,,
71,0,,,,
73,0,,,,
87,0,,,,
89,0,,,,
90,0,,,,
91,0,,,,
92,0,,,,
93,0,,,,
96,1,,,,
100,-1,,,,
101,-1,,,,
102,-1,,,,
196,-1,,,,
197,-1,,,,
198,0,,,,
199,0,,,,
200,0,,,,
212,,,8=NA|9=-1,,
215,0,,9=-1,,
216,,,X=-1,,
217,,,9=-1,,
219,,,9=-1,,
220,,,8=NA|9=-1,,
223,,,9=-1,,
224,,,9=-1|0=NA,,
225,,,9=-1,,
227,,,99=-1,,
228,,,8=NA|9=-1,,
229,,,8=-1|9=NA,,
231,,,98=NA|99=-1,,
261,0,,,,
262,0,,,,
264,,,8000=NA|9000=-1,,
265,,,11000=NA|12000=-1,,
266,,,6000=NA,,
267,,,11000=NA|11001=-1|12000=-2,,
268,,,4000=NA|5000=-1,,
269,,,9999=-1,,
270,,,9999=-1,,
271,,,800=NA|900=-1,,
300,0,,,,
339,1,,-600=0|-601=1|-602=2,,
400,0,,,0,12224
401,0,,,4,12224
402,,,0=NA,,
403,0,,,0,12224
408,1,,,,
470,0,,,,
479,0,,,,
480,0,,,,
485,,,-1=NA,,
486,0,,,,
487,,,-1=NA,,
488,,,-1001=NA,,
489,0,,,,
493,1,,-131=1|-141=2,,
494,1,,-1520=1|-2030=2|-3040=3|4000=4,,
496,0,,,,
497,0,,,,
498,1,1|2|0,,,
500,0,,,,
502,-1,,,,
503,-1,,,,
